time/input_data/output_state/rest/grip/hold/release
4,995899200439453/1,2397924661636353/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/0,0007203907589428127/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,2981441020965576/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,3031867742538452/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,3204761743545532/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,3089499473571777/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,2268253564834595/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,2952625751495361/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,3399267196655273/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,4278143644332886/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,4847253561019897/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,4998536109924316/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,4861661195755005/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,4724786281585693/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,4220513105392456/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,3838706016540527/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,373785138130188/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/0,13183151185512543/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,339206337928772/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,2916605472564697/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,2822954654693604/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,2686080932617188/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,3204761743545532/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,258522629737854/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1497435569763184/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1699146032333374/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,2116972208023071/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,223943829536438/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,2116972208023071/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,2016117572784424/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1655921936035156/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,141098976135254/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1317338943481445/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1338950395584106/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1338950395584106/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1483027935028076/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1425397396087646/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1245299577713013/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1288522481918335/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1295726299285889/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,102918267250061/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1627106666564941/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1569474935531616/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,0207936763763428/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,051050066947937/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,059694766998291/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,0560928583145142/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,0611355304718018/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,0668987035751343/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,059694766998291/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,0546520948410034/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,068339467048645/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,0647375583648682/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,057533621788025/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,076984167098999/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,0921123027801514/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,085628867149353/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,0985958576202393/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1158852577209473/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,125970721244812/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,076984167098999/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1014773845672607/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1108424663543701/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1043590307235718/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,115164875984192/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1115628480911255/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1526252031326294/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1230891942977905/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,0813064575195312/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,0935531854629517/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,0762637853622437/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,0841881036758423/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1050794124603271/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,115164875984192/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,0949939489364624/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1036386489868164/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1252503395080566/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1382173299789429/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1648718118667603/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1720757484436035/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1252503395080566/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,125970721244812/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1245299577713013/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,123809576034546/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1158852577209473/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,108681321144104/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1043590307235718/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
