time/input_data/output_state/a/b/c/d
4,8481855392456055/1,140378475189209/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1454212665557861/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1670329570770264/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1439805030822754/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1252503395080566/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,149023175239563/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1483027935028076/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1302930116653442/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1454212665557861/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,160549521446228/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,141098976135254/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1627106666564941/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1785591840744019/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1706349849700928/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1756776571273804/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,2001709938049316/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,2001709938049316/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1864835023880005/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,2037729024887085/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
